istp,E_alpha,half_life
258ES,5.792759497007619,360.0
254ES,6.511481486298687,23820480.0
253ES,6.632574078973393,1768608.0
252ES,6.681492914391299,52249846.15384615
252CF,6.118152840758976,86131248.19416355
251CF,6.078487097812313,28338700000.0
250CF,6.030346276620547,413091480.4399388
249CF,6.1949683479966895,11076700000.000002
248BK,5.681797352921556,283824000.0
248CM,5.07844679971851,11987774260451.916
248CF,6.258559703039538,28815235.641833607
247CM,5.266827535427525,492299000000000.0
247BK,5.794184350069265,43549500000.0
246CF,6.749990807577768,128520.30844874025
246CM,5.386052832278951,150253276206.40033
245ES,7.779900067556606,165.0
245CF,7.139883737149671,7500.000000000001
245CM,5.531158200937724,268239999999.99997
244CF,7.208674887460763,1164.0
244PU,4.589012034301632,2563204005006258.0
244CM,5.8049495801228925,571508900.1124603
243ES,7.93916317649242,70.0
243CM,6.0672130360572805,920997091.5655402
243AM,5.349247977339614,232580000000.0
242ES,8.02472658656867,23.68421052631579
242CF,7.392487240977581,277.5277527752775
242CM,6.11277450877872,14078020.0
242PU,4.902122584789135,11786864827756.553
241ES,8.113020903112593,17.0
241CF,7.527407923124954,907.2
241BK,6.921265956878351,552.0
241AM,5.544202111827384,13651800000.0
240ES,8.094131235386193,2.0
240CF,7.582334619742717,58.77551020408163
240CM,6.291119171192699,2332800.0
240PU,5.168120091342856,207049000000.0
239CF,7.678652130595722,103.0
238U,4.197953465996001,1.41e+17
238PU,5.4991557270827105,2767602000.0
237BK,7.373511933018616,120.0
237CM,6.65607934823023,2400.0
237NP,4.874776438085232,67659499999999.99
236CM,6.947076588265781,3800.0
236AM,6.149598753703131,432.0
236PU,5.767579062640445,90191620.0
236U,4.495342864139152,739079000000000.0
235BK,7.706639457027232,40.0
235CM,7.176018448025745,600.0
235U,4.59852720980779,2.22e+16
234BK,7.849812872061026,175.0
234CM,7.239086117392516,127.50000000000001
234U,4.774590011538428,7747390000000.0
233CM,7.345139747917566,35.4
233AM,6.937260808783733,192.0
233U,4.824251980573024,5023970000000.0
232TH,4.011191805145091,4.43e+17
232U,5.320243122882496,2174319000.0
231AM,7.322500181609699,20.0
231PA,5.060733299733128,1033830000000.0
230PU,7.054957021058355,102.0
230U,5.888451616480174,1797120.0
230TH,4.686761568160956,2378810000000.0
229PU,7.458096456886847,112.0
229NP,6.8914539585734875,352.94117647058823
229TH,5.077246431121402,231633000000.0
228PU,7.800751057599211,1.85
228NP,7.180213074674312,153.5
228U,6.684073232738132,574.7368421052631
228TH,5.423183059750256,60338130.0
227NP,7.678601559324309,0.51
227U,7.084174087231655,66.0
227PA,6.464380988434132,2703.5294117647063
227TH,6.038228507060938,1613952.0
226U,7.5645881976834115,0.35
226PA,6.863077959491679,145.94594594594594
226RA,4.784369521115633,50492200000.0
226TH,6.336619719666162,1834.2
225PA,7.261003082262045,1.7
225TH,6.798281759682622,581.3333333333334
225AC,5.829505828318776,864000.0
224PA,7.5562142542071244,0.79
224TH,7.168086698224936,1.05
224RA,5.685414496336628,316224.0
223TH,7.430827804303172,0.6
223AC,6.661456191569036,126.0
223RA,5.871681125963185,987552.0000000001
222AC,7.008683223119044,5.050505050505051
222RN,5.489524199884656,330350.4
222RA,6.558404526782898,36.17
221RN,6.050844623147739,7009.090909090909
221FR,6.340801564112258,294.0
221RA,6.755785218740386,28.0
220FR,6.677010477119567,27.49623682890115
220RN,6.288142032923504,55.6
219AT,6.208125113071606,57.7319587628866
219RN,6.81916324532346,3.96
218PO,6.002408140909052,185.91718343668734
218AT,6.747790142816205,1.5015015015015014
217PO,6.539171958326609,1.53
216PA,7.946965495470033,0.16326530612244897
216PO,6.778328589049431,0.145
215TH,7.521929528408472,1.2
215AC,7.601665676104631,0.17015313782404165
214AC,7.214606161510895,9.213483146067414
214RA,7.136486246366559,2.4614522568315302
213TH,7.69169676623354,0.14
213AC,7.358378846027346,0.8
213RA,6.732895813516178,204.75000000000003
213FR,6.775008022003889,35.01609010458568
212AC,7.376862162411204,1.631578947368421
212RA,6.898873954389393,15.294117647058824
212FR,6.405656933374442,2790.6976744186045
212BI,6.090059697251477,10108.514190317195
212AT,7.669409104331087,0.314
212RN,6.264434336473097,1434.0
211AC,7.4770589504674145,0.21
211RA,6.908235328710006,13.978494623655914
211FR,6.53578632906148,232.5
211RN,5.852205262421694,191824.81751824816
211AT,5.868875360846029,62130.14354066986
211BI,6.622263612188582,128.75536480686694
211PO,7.45040112999784,0.516
210AC,7.462207779550308,0.3846153846153846
210RA,7.014497195660138,3.8541666666666674
210FR,6.544400030375088,318.0
210RN,6.041511286674068,9000.0
210PO,5.304374651533234,11955690.0
209RA,7.006230702747643,5.111111111111112
209FR,6.647577693720627,56.179775280898866
209PO,4.883862426777054,3234405144.694534
208RA,7.133093251132811,1.3684210526315788
208FR,6.6541377344819885,66.40449438202248
208RN,6.1401730787150255,2356.451612903226
208PO,5.114930295695136,91457578.30313213
207RA,7.132617558500955,1.4444444444444444
207FR,6.7599766746136964,15.578947368421053
207RN,6.130249451474959,2642.8571428571436
206RA,7.271097715870867,0.23999999999999996
206FR,6.788871662358937,19.04761904761905
206RN,6.259766892208871,548.7096774193549
205RA,7.340227042067191,0.22
205FR,6.916882704671985,3.7999999999999994
205RN,6.261420333824166,691.0569105691058
204FR,7.029751753225793,2.125
204RN,6.4179714121988125,96.16438356164385
203FR,7.131357298169922,0.55
203RN,6.499059090827174,66.66666666666666
203AT,6.087558782352747,1432.258064516129
202FR,7.242883734055602,0.3
202RN,6.639492987242992,12.435897435897436
202AT,6.227854810535174,497.2972972972973
201RN,6.72404355482581,14.0
201AT,6.343852939999242,120.00000000000003
